"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"BA01 Cal2"	"extraction/derivatization"	"BA01 Cal2"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"25"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_25_1_1_STANDARD_L2_205482_BA01 Cal2"	"BA01-0-1_231612_25_0_1_1_02_205482.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal2"	"extraction/derivatization"	"BA01 Cal2"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"25"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_25_1_1_STANDARD_L2_205482_BA01 Cal2"	"BA01-0-1_246605_25_0_1_1_02_205482.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal3"	"extraction/derivatization"	"BA01 Cal3"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"37"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_37_1_1_STANDARD_L3_282986_BA01 Cal3"	"BA01-0-1_306281_37_0_1_1_02_282986.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal3"	"extraction/derivatization"	"BA01 Cal3"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"37"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_37_1_1_STANDARD_L3_205496_BA01 Cal3"	"no file39"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal3"	"extraction/derivatization"	"BA01 Cal3"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"37"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_37_1_1_STANDARD_L3_205496_BA01 Cal3"	"BA01-0-1_231612_37_0_1_1_02_205496.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal3"	"extraction/derivatization"	"BA01 Cal3"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"37"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_37_1_1_STANDARD_L3_205496_BA01 Cal3"	"BA01-0-1_246605_37_0_1_1_02_205496.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal4"	"extraction/derivatization"	"BA01 Cal4"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"49"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_49_1_1_STANDARD_L4_282990_BA01 Cal4"	"BA01-0-1_306281_49_0_1_1_02_282990.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal4"	"extraction/derivatization"	"BA01 Cal4"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"49"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_49_1_1_STANDARD_L4_205504_BA01 Cal4"	"no file50"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal4"	"extraction/derivatization"	"BA01 Cal4"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"49"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_49_1_1_STANDARD_L4_205504_BA01 Cal4"	"BA01-0-1_231612_49_0_1_1_02_205504.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal4"	"extraction/derivatization"	"BA01 Cal4"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"49"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_49_1_1_STANDARD_L4_205504_BA01 Cal4"	"BA01-0-1_246605_49_0_1_1_02_205504.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal5"	"extraction/derivatization"	"BA01 Cal5"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"61"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_61_1_1_STANDARD_L5_281668_BA01 Cal5"	"BA01-0-1_306281_61_0_1_1_02_281668.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal5"	"extraction/derivatization"	"BA01 Cal5"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"61"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_61_1_1_STANDARD_L5_205518_BA01 Cal5"	"no file62"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal5"	"extraction/derivatization"	"BA01 Cal5"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"61"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_61_1_1_STANDARD_L5_205518_BA01 Cal5"	"BA01-0-1_231612_61_0_1_1_02_205518.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal5"	"extraction/derivatization"	"BA01 Cal5"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"61"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_61_1_1_STANDARD_L5_205518_BA01 Cal5"	"BA01-0-1_246605_61_0_1_1_02_205518.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal6"	"extraction/derivatization"	"BA01 Cal6"	"BA01-0-1"	"not reported"	""	""	"306281"	""	""	"73"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"17/11/2010"	"BA01-0-1_306281_73_1_1_STANDARD_L6_282941_BA01 Cal6"	"BA01-0-1_306281_73_0_1_1_02_282941.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_306281"	"BA01-0-1_306281_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal6"	"extraction/derivatization"	"BA01 Cal6"	"BA01-0-1"	"not reported"	""	""	"231560"	""	""	"73"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"18/05/2010"	"BA01-0-1_231560_73_1_1_STANDARD_L6_204961_BA01 Cal6"	"no file75"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231560"	"BA01-0-1_231560_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal6"	"extraction/derivatization"	"BA01 Cal6"	"BA01-0-1"	"not reported"	""	""	"231612"	""	""	"73"	""	""	"none reported"	""	""	"BA01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"20/05/2010"	"BA01-0-1_231612_73_1_1_STANDARD_L6_204961_BA01 Cal6"	"BA01-0-1_231612_73_0_1_1_02_204961.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_231612"	"BA01-0-1_231612_maf-negative.txt"	""	""	""	""	""	""	""
"BA01 Cal6"	"extraction/derivatization"	"BA01 Cal6"	"BA01-0-1"	"not reported"	""	""	"246605"	""	""	"73"	""	""	"none reported"	""	""	"BA01_1_A1B1_2008-07-24.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"1"	""	""	"29/06/2010"	"BA01-0-1_246605_73_1_1_STANDARD_L6_204961_BA01 Cal6"	"BA01-0-1_246605_73_0_1_1_02_204961.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_BA01-0-1_246605"	"BA01-0-1_246605_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"1"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"3"	""	""	"20/05/2010"	"KIT1-0-41_231630_1_1_3_BLANK_10000001_BLANK"	"KIT1-0-41_231630_01_0_1_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"KIT1-0-3"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"1"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"3"	""	""	"3"	""	""	"20/05/2010"	"KIT1-0-3_231630_1_3_3_BLANK_10000001_BLANK"	"KIT1-0-3_231630_01_0_3_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-3_231630"	"KIT1-0-3_231630_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"PG01-0-1"	"not reported"	""	""	"246640"	""	""	"1"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"3"	""	""	"01/07/2010"	"PG01-0-1_246640_1_1_3_BLANK_10000001_BLANK"	"PG01-0-1_246640_01_0_1_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_246640"	"PG01-0-1_246640_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"PG01-0-1"	"not reported"	""	""	"231609"	""	""	"1"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"3"	""	""	"17/05/2010"	"PG01-0-1_231609_1_1_3_BLANK_10000001_BLANK"	"PG01-0-1_231609_01_0_1_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_231609"	"PG01-0-1_231609_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"KIT1-0-5"	"Biocrates p150 Kit"	""	""	"311996"	""	""	"1"	""	""	"none reported"	""	""	"KIT-FIA_neg.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"3"	""	""	"20/11/2010"	"KIT1-0-5_311996_1_1_3_BLANK_10000001_BLANK"	"KIT1-0-5_311996_01_0_1_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-5_311996"	"KIT1-0-5_311996_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"PG01-0-1"	"not reported"	""	""	"312017"	""	""	"1"	""	""	"none reported"	""	""	"PG01_QTrap5500_A1B1.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"3"	""	""	"18/11/2010"	"PG01-0-1_312017_1_1_3_BLANK_10000001_BLANK"	"PG01-0-1_312017_01_0_1_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_PG01-0-1_312017"	"PG01-0-1_312017_maf-negative.txt"	""	""	""	""	""	""	""
"BLANK"	"extraction/derivatization"	"BLANK"	"EM01-0-1"	"not reported"	""	""	"246619"	""	""	"1"	""	""	"none reported"	""	""	"EM01_2_A2B2_HILIC_2010-06-14_right_Q4.dam"	""	""	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"negative scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	""	""	"3"	""	""	"28/06/2010"	"EM01-0-1_246619_1_1_3_BLANK_10000001_BLANK"	"EM01-0-1_246619_01_0_1_3_01_10000001.wiff (sample 2)"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_EM01-0-1_246619"	"EM01-0-1_246619_maf-negative.txt"	""	""	""	""	""	""	""
