"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"
"KIT2 L1"	"extraction/derivatization"	"KIT2 L1"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"13"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_13_1_1_STANDARD_L1_200030_KIT2 L1"	"KIT1-0-41_231630_13_1_1_1_02_200030.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"PBS   4  HSA"	"extraction/derivatization"	"PBS   4  HSA"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"14"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_14_1_1_ZERO_SAMPLE_11000001_PBS   4  HSA"	"KIT1-0-41_231630_14_1_1_1_10_11000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1198"	"extraction/derivatization"	"M1198"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"74"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_74_1_1_SAMPLE_222374_M1198"	"KIT1-0-41_231630_74_1_1_1_00_222374.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1339"	"extraction/derivatization"	"M1339"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"75"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_75_1_1_SAMPLE_222291_M1339"	"KIT1-0-41_231630_75_1_1_1_00_222291.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1340"	"extraction/derivatization"	"M1340"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"15"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_15_1_1_SAMPLE_222309_M1340"	"KIT1-0-41_231630_15_1_1_1_00_222309.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2204"	"extraction/derivatization"	"M2204"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"17"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_17_1_1_SAMPLE_222879_M2204"	"KIT1-0-41_231630_17_1_1_1_00_222879.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"KIT2 L7"	"extraction/derivatization"	"KIT2 L7"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"85"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_85_1_1_STANDARD_L7_200091_KIT2 L7"	"KIT1-0-41_231630_85_1_1_1_02_200091.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1162"	"extraction/derivatization"	"M1162"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"16"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_16_1_1_SAMPLE_222256_M1162"	"KIT1-0-41_231630_16_1_1_1_00_222256.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"QC_1"	"extraction/derivatization"	"QC_1"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"84"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_84_1_1_QC_1_33000362_QC_1"	"KIT1-0-41_231630_84_1_1_1_03_33000362.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M378"	"extraction/derivatization"	"M378"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"87"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_87_1_1_SAMPLE_222343_M378"	"KIT1-0-41_231630_87_1_1_1_00_222343.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2210"	"extraction/derivatization"	"M2210"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"86"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_86_1_1_SAMPLE_222848_M2210"	"KIT1-0-41_231630_86_1_1_1_00_222848.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1195"	"extraction/derivatization"	"M1195"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"21"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_21_1_1_SAMPLE_222851_M1195"	"KIT1-0-41_231630_21_1_1_1_00_222851.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1341"	"extraction/derivatization"	"M1341"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"80"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_80_1_1_SAMPLE_222312_M1341"	"KIT1-0-41_231630_80_1_1_1_00_222312.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"QC_1"	"extraction/derivatization"	"QC_1"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"22"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_22_1_1_QC_1_33000362_QC_1"	"KIT1-0-41_231630_22_1_1_1_03_33000362.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"KIT2 L2"	"extraction/derivatization"	"KIT2 L2"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"25"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_25_1_1_STANDARD_L2_200043_KIT2 L2"	"KIT1-0-41_231630_25_1_1_1_02_200043.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M377"	"extraction/derivatization"	"M377"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"92"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_92_1_1_SAMPLE_222330_M377"	"KIT1-0-41_231630_92_1_1_1_00_222330.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1164"	"extraction/derivatization"	"M1164"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"27"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_27_1_1_SAMPLE_222273_M1164"	"KIT1-0-41_231630_27_1_1_1_00_222273.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"QC_1"	"extraction/derivatization"	"QC_1"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"26"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_26_1_1_QC_1_33000362_QC_1"	"KIT1-0-41_231630_26_1_1_1_03_33000362.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"QC_1"	"extraction/derivatization"	"QC_1"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"88"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_88_1_1_QC_1_33000362_QC_1"	"KIT1-0-41_231630_88_1_1_1_03_33000362.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M238"	"extraction/derivatization"	"M238"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"28"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_28_1_1_SAMPLE_222225_M238"	"KIT1-0-41_231630_28_1_1_1_00_222225.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2234"	"extraction/derivatization"	"M2234"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"33"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_33_1_1_SAMPLE_223223_M2234"	"KIT1-0-41_231630_33_1_1_1_00_223223.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2196"	"extraction/derivatization"	"M2196"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"39"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_39_1_1_SAMPLE_222733_M2196"	"KIT1-0-41_231630_39_1_1_1_00_222733.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"PBS   4  HSA"	"extraction/derivatization"	"PBS   4  HSA"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"96"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_96_1_1_ZERO_SAMPLE_11000001_PBS   4  HSA"	"KIT1-0-41_231630_96_1_1_1_10_11000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"KIT2 L3"	"extraction/derivatization"	"KIT2 L3"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"37"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_37_1_1_STANDARD_L3_200057_KIT2 L3"	"KIT1-0-41_231630_37_1_1_1_02_200057.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M365"	"extraction/derivatization"	"M365"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"40"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_40_1_1_SAMPLE_222817_M365"	"KIT1-0-41_231630_40_1_1_1_00_222817.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2198"	"extraction/derivatization"	"M2198"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"45"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_45_1_1_SAMPLE_222751_M2198"	"KIT1-0-41_231630_45_1_1_1_00_222751.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2208"	"extraction/derivatization"	"M2208"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"51"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_51_1_1_SAMPLE_222918_M2208"	"KIT1-0-41_231630_51_1_1_1_00_222918.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
